group,multiplier_x,multiplier_y,multiplier_z,a1,a2,a3,energy_above_hull
split_no_alloy,0.98,1,1,-0.3266221423763689,0.0,0.0,0.009839310983996263
split_no_alloy,0.981,1,1,-0.3102910352575492,0.0,0.0,0.009240108289633397
split_no_alloy,0.982,1,1,-0.2939599281387295,0.0,0.0,0.008649765099366213
split_no_alloy,0.983,1,1,-0.2776288210199134,0.0,0.0,0.008069900476819214
split_no_alloy,0.984,1,1,-0.2612977139010937,0.0,0.0,0.007501615170770748
split_no_alloy,0.985,1,1,-0.244966606782274,0.0,0.0,0.006944926026081433
split_no_alloy,0.986,1,1,-0.22863549966345786,0.0,0.0,0.0064002746904971985
split_no_alloy,0.987,1,1,-0.21230439254463818,0.0,0.0,0.005867754569012895
split_no_alloy,0.988,1,1,-0.19597328542582204,0.0,0.0,0.005347124500991285
split_no_alloy,0.989,1,1,-0.17964217830700235,0.0,0.0,0.004838332977207926
split_no_alloy,0.99,1,1,-0.16331107118818267,0.0,0.0,0.0043432349591912
split_no_alloy,0.991,1,1,-0.14697996406936653,0.0,0.0,0.0038585604808147878
split_no_alloy,0.992,1,1,-0.13064885695054684,0.0,0.0,0.003386048167685729
split_no_alloy,0.993,1,1,-0.11431774983172716,0.0,0.0,0.002925103033865284
split_no_alloy,0.994,1,1,-0.09798664271291102,0.0,0.0,0.0024728278732606412
split_no_alloy,0.995,1,1,-0.08165553559409133,0.0,0.0,0.002032735930301399
split_no_alloy,0.996,1,1,-0.0653244284752752,0.0,0.0,0.0016032924719766584
split_no_alloy,0.997,1,1,-0.04899332135645551,0.0,0.0,0.0011852179755145187
split_no_alloy,0.998,1,1,-0.03266221423763582,0.0,0.0,0.0007792303228377762
split_no_alloy,0.999,1,1,-0.016331107118819688,0.0,0.0,0.0003841672010942432
split_no_alloy,1.0,1,1,0.0,0.0,0.0,0.0
