total,species_a,species_b,n,m,potential_energy,potential_energy_per_atom,formation_energy_per_atom,strain_tension_per_a_atom,strain_compression_per_b_atom,interface_energy
2,Si,Ge,1,1,-84.29088450328095,-5.268180281455059,-0.0036459301234499364,0.017640717300271724,0.01376261851970284,-0.3095615685350026
3,Si,Ge,1,2,-123.10740350228835,-5.129475145928681,-0.001789697913059977,0.017640717300271724,0.01376261851970284,-0.4042803846308516
3,Si,Ge,2,1,-129.62861226206323,-5.401192177585968,0.0001910770616297223,0.017640717300272613,0.01376261851970284,-0.387766575482857
4,Si,Ge,1,3,-161.9079399861761,-5.059623124568003,-0.000362128210376067,0.017640717300271724,0.013762618519703432,-0.48301668560714006
4,Si,Ge,2,2,-168.46596591002788,-5.264561434688371,-2.7083356761714583e-05,0.017640717300272613,0.01376261851970284,-0.5033200405359821
4,Si,Ge,3,1,-174.95997879645128,-5.4674993373891025,0.002308368916489112,0.017640717300273206,0.01376261851970284,-0.45961035803654227
5,Si,Ge,1,4,-200.70219430554795,-5.017554857638698,0.0006514677241320043,0.017640717300271724,0.01376261851970284,-0.5554708220674911
5,Si,Ge,2,3,-207.28260598891865,-5.182065149722966,0.00035985961905034004,0.017640717300272613,0.013762618519703432,-0.5981599365152874
5,Si,Ge,3,2,-213.81100186370176,-5.345275046592544,0.0013686467286582627,0.017640717300273206,0.01376261851970284,-0.5888332423754719
5,Si,Ge,4,1,-220.28879398421435,-5.507219849605359,0.0036425276950293297,0.017640717300271724,0.01376261851970284,-0.5289027939651874
6,Si,Ge,1,5,-239.4928232041367,-4.989433816752848,0.0014027279467854943,0.017640717300271724,0.013762618519704261,-0.6242995377447755
6,Si,Ge,2,4,-246.0885231070991,-5.1268442313978975,0.00084121661772348,0.017640717300272613,0.01376261851970284,-0.6822768717842393
6,Si,Ge,3,3,-252.64045072049828,-5.2633427233437144,0.001191627987895257,0.017640717300273206,0.013762618519703432,-0.6964819162604954
6,Si,Ge,4,2,-259.1491715078884,-5.398941073081009,0.0024421815665890043,0.017640717300271724,0.01376261851970284,-0.6674801347276684
6,Si,Ge,5,1,-265.616304364344,-5.5336730075905,0.004559150373085963,0.017640717300272966,0.01376261851970284,-0.5968904222603442
7,Si,Ge,1,6,-278.281765257627,-4.969317236743339,0.001969464625438328,0.017640717300271724,0.013762618519703432,-0.6914414083236124
7,Si,Ge,2,5,-284.88825806927923,-5.087290322665701,0.0012954386882100266,0.017640717300272613,0.013762618519704261,-0.7602116510529413
7,Si,Ge,3,4,-291.457085267555,-5.204590808349196,0.0012940129898468505,0.017640717300273206,0.01376261851970284,-0.7913162804057379
7,Si,Ge,4,3,-297.9886512092011,-5.32122591445002,0.0019579668741557094,0.017640717300271724,0.013762618519703432,-0.7851596531289147
7,Si,Ge,5,2,-304.4833953077027,-5.437203487637548,0.0032794536717598737,0.017640717300272966,0.01376261851970284,-0.7421811827075544
7,Si,Ge,6,1,-310.94310294260055,-5.552555409689296,0.005226591605145714,0.01764071730027202,0.01376261851970284,-0.6641662486824771
8,Si,Ge,1,7,-317.06941452381756,-4.954209601934649,0.002414716935986938,0.017640717300271724,0.013762618519703349,-0.7572904916025891
